Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request login cache,5000,1747,1587,2526,2845,2973,946,3481,0.000%,1353.54629,794.86,491.13
HTTP Request find dormitory cache,5000,2130,2194,2663,2982,3415,4,3511,0.000%,1026.48327,176594.22,183.44
HTTP Request login,5000,5752,5542,9869,10455,10985,934,13279,0.000%,352.58444,134.97,127.93
HTTP Request find dormitory,5000,19584,20028,27040,27768,28420,63,28909,0.000%,126.32643,4990.88,22.58
TOTAL,20000,7303,2698,22089,25846,28018,4,28909,0.000%,122.51149,6508.91,33.17
